Config,Seed,Step,Score
only_tn,67,4999,14.033333333333333
only_tn,67,9999,15.8
only_tn,67,14999,21.233333333333334
only_tn,67,19999,12.6
only_tn,67,24999,16.733333333333334
only_tn,67,29999,16.2
only_tn,67,34999,27.466666666666665
only_tn,67,39999,47.86666666666667
only_tn,67,44999,43.53333333333333
only_tn,67,49999,48.43333333333333
only_tn,67,54999,17.666666666666668
only_tn,67,59999,25.7
only_tn,67,64999,22.366666666666667
only_tn,67,69999,31.4
only_tn,67,74999,43.86666666666667
only_tn,67,79999,21.766666666666666
only_tn,67,84999,21.933333333333334
only_tn,67,89999,9.5
only_tn,67,94999,26.566666666666666
only_tn,67,99999,35.0
only_tn,67,104999,26.5
only_tn,67,109999,21.233333333333334
only_tn,67,114999,17.366666666666667
only_tn,67,119999,26.666666666666668
only_tn,67,124999,54.6
only_tn,67,129999,27.033333333333335
only_tn,67,134999,32.06666666666667
only_tn,67,139999,14.4
only_tn,67,144999,36.56666666666667
only_tn,67,149999,49.333333333333336
only_tn,67,154999,54.2
only_tn,67,159999,21.533333333333335
only_tn,67,164999,21.333333333333332
only_tn,67,169999,21.133333333333333
only_tn,67,174999,24.066666666666666
only_tn,67,179999,26.666666666666668
only_tn,67,184999,31.0
only_tn,67,189999,18.7
only_tn,67,194999,24.966666666666665
only_tn,67,199999,22.9
only_tn,67,204999,25.833333333333332
only_tn,67,209999,19.2
only_tn,67,214999,29.533333333333335
only_tn,67,219999,24.5
only_tn,67,224999,9.666666666666666
only_tn,67,229999,38.233333333333334
only_tn,67,234999,27.933333333333334
only_tn,67,239999,21.633333333333333
only_tn,67,244999,23.6
only_tn,67,249999,25.2
only_tn,67,254999,23.066666666666666
only_tn,67,259999,18.3
only_tn,67,264999,24.2
only_tn,67,269999,26.333333333333332
only_tn,67,274999,20.333333333333332
only_tn,67,279999,30.2
only_tn,67,284999,23.3
only_tn,67,289999,32.13333333333333
only_tn,67,294999,21.766666666666666
only_tn,67,299999,20.066666666666666
only_tn,67,304999,28.933333333333334
only_tn,67,309999,24.466666666666665
only_tn,67,314999,20.266666666666666
only_tn,67,319999,25.566666666666666
only_tn,67,324999,25.7
only_tn,67,329999,21.833333333333332
only_tn,67,334999,27.3
only_tn,67,339999,20.833333333333332
only_tn,67,344999,21.433333333333334
only_tn,67,349999,23.833333333333332
only_tn,67,354999,20.766666666666666
only_tn,67,359999,23.666666666666668
only_tn,67,364999,26.566666666666666
only_tn,67,369999,25.333333333333332
only_tn,67,374999,24.3
only_tn,67,379999,21.7
only_tn,67,384999,38.1
only_tn,67,389999,23.2
only_tn,67,394999,28.633333333333333
only_tn,67,399999,24.733333333333334
only_tn,67,404999,24.433333333333334
only_tn,67,409999,23.033333333333335
only_tn,67,414999,23.3
only_tn,67,419999,23.6
only_tn,67,424999,27.5
only_tn,67,429999,24.133333333333333
only_tn,67,434999,24.533333333333335
only_tn,67,439999,26.2
only_tn,67,444999,28.866666666666667
only_tn,67,449999,23.466666666666665
only_tn,67,454999,24.966666666666665
only_tn,67,459999,27.3
only_tn,67,464999,28.266666666666666
only_tn,67,469999,24.133333333333333
only_tn,67,474999,23.6
only_tn,67,479999,23.466666666666665
only_tn,67,484999,29.633333333333333
only_tn,67,489999,23.333333333333332
only_tn,67,494999,26.933333333333334
only_tn,67,499999,24.766666666666666
only_tn,67,504999,38.833333333333336
only_tn,67,509999,26.633333333333333
only_tn,67,514999,23.166666666666668
only_tn,67,519999,26.566666666666666
only_tn,67,524999,23.633333333333333
only_tn,67,529999,25.0
only_tn,67,534999,37.266666666666666
only_tn,67,539999,20.466666666666665
only_tn,67,544999,32.56666666666667
only_tn,67,549999,20.666666666666668
only_tn,67,554999,24.8
only_tn,67,559999,32.9
only_tn,67,564999,36.03333333333333
only_tn,67,569999,19.966666666666665
only_tn,67,574999,26.2
only_tn,67,579999,19.8
only_tn,67,584999,26.066666666666666
only_tn,67,589999,28.7
only_tn,67,594999,25.0
only_tn,67,599999,27.966666666666665
only_tn,67,604999,27.566666666666666
only_tn,67,609999,20.0
only_tn,67,614999,21.966666666666665
only_tn,67,619999,23.1
only_tn,67,624999,26.066666666666666
only_tn,67,629999,24.666666666666668
only_tn,67,634999,27.233333333333334
only_tn,67,639999,30.633333333333333
only_tn,67,644999,25.966666666666665
only_tn,67,649999,21.2
only_tn,67,654999,21.166666666666668
only_tn,67,659999,23.066666666666666
only_tn,67,664999,24.866666666666667
only_tn,67,669999,22.1
only_tn,67,674999,9.366666666666667
only_tn,67,679999,24.933333333333334
only_tn,67,684999,26.533333333333335
only_tn,67,689999,25.4
only_tn,67,694999,23.633333333333333
only_tn,67,699999,23.633333333333333
only_tn,67,704999,26.466666666666665
only_tn,67,709999,23.933333333333334
only_tn,67,714999,26.166666666666668
only_tn,67,719999,29.366666666666667
only_tn,67,724999,25.666666666666668
only_tn,67,729999,27.933333333333334
only_tn,67,734999,19.133333333333333
only_tn,67,739999,22.266666666666666
only_tn,67,744999,28.3
only_tn,67,749999,9.5
only_tn,67,754999,25.933333333333334
only_tn,67,759999,27.733333333333334
only_tn,67,764999,26.266666666666666
only_tn,67,769999,24.8
only_tn,67,774999,27.2
only_tn,67,779999,23.633333333333333
only_tn,67,784999,19.466666666666665
only_tn,67,789999,19.766666666666666
only_tn,67,794999,29.4
only_tn,67,799999,19.7
only_tn,67,804999,24.833333333333332
only_tn,67,809999,22.6
only_tn,67,814999,28.3
only_tn,67,819999,25.533333333333335
only_tn,67,824999,23.933333333333334
only_tn,67,829999,29.1
only_tn,67,834999,24.966666666666665
only_tn,67,839999,19.8
only_tn,67,844999,25.766666666666666
only_tn,67,849999,26.7
only_tn,67,854999,28.333333333333332
only_tn,67,859999,26.333333333333332
only_tn,67,864999,21.7
only_tn,67,869999,23.5
only_tn,67,874999,26.1
only_tn,67,879999,19.4
only_tn,67,884999,29.5
only_tn,67,889999,26.133333333333333
only_tn,67,894999,26.733333333333334
only_tn,67,899999,25.866666666666667
only_tn,67,904999,25.733333333333334
only_tn,67,909999,24.866666666666667
only_tn,67,914999,24.066666666666666
only_tn,67,919999,30.666666666666668
only_tn,67,924999,24.6
only_tn,67,929999,26.933333333333334
only_tn,67,934999,20.166666666666668
only_tn,67,939999,25.866666666666667
only_tn,67,944999,26.3
only_tn,67,949999,24.866666666666667
only_tn,67,954999,28.466666666666665
only_tn,67,959999,25.966666666666665
only_tn,67,964999,24.733333333333334
only_tn,67,969999,25.3
only_tn,67,974999,25.333333333333332
only_tn,67,979999,26.6
only_tn,67,984999,25.466666666666665
only_tn,67,989999,25.166666666666668
only_tn,67,994999,28.166666666666668
only_tn,67,999999,21.9
only_tn,69,4999,9.5
only_tn,69,9999,9.333333333333334
only_tn,69,14999,9.366666666666667
only_tn,69,19999,9.3
only_tn,69,24999,9.433333333333334
only_tn,69,29999,9.166666666666666
only_tn,69,34999,9.333333333333334
only_tn,69,39999,9.366666666666667
only_tn,69,44999,9.3
